11.177: [GC 11.178: [ParNew: 3555K->87K(3904K), 0.0005712 secs] 10091K->6696K(12552K), 0.0006055 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
11.180: [GC 11.180: [ParNew: 3419K->125K(3904K), 0.0004777 secs] 10028K->6734K(12552K), 0.0005150 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
11.184: [GC 11.184: [ParNew: 3511K->127K(3904K), 0.0004855 secs] 10119K->6735K(12552K), 0.0005401 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
11.186: [GC 11.186: [ParNew: 3424K->130K(3904K), 0.0007645 secs] 10032K->6738K(12552K), 0.0008224 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
11.189: [GC 11.189: [ParNew: 3460K->67K(3904K), 0.0003507 secs] 10068K->6676K(12552K), 0.0003842 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
11.191: [GC 11.191: [ParNew: 3332K->135K(3904K), 0.0003392 secs] 9940K->6744K(12552K), 0.0003744 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
11.193: [GC 11.193: [ParNew: 3394K->138K(3904K), 0.0003573 secs] 10002K->6747K(12552K), 0.0003907 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
11.195: [GC 11.195: [ParNew: 3512K->143K(3904K), 0.0004075 secs] 10121K->6752K(12552K), 0.0004443 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
11.198: [GC 11.198: [ParNew: 3482K->224K(3904K), 0.0004676 secs] 10091K->6832K(12552K), 0.0005141 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
11.200: [GC 11.200: [ParNew: 3551K->230K(3904K), 0.0004660 secs] 10159K->6838K(12552K), 0.0005018 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
11.202: [GC 11.202: [ParNew: 3607K->233K(3904K), 0.0004484 secs] 10215K->6841K(12552K), 0.0004834 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
11.206: [GC 11.206: [ParNew: 3519K->159K(3904K), 0.0005253 secs] 10127K->6768K(12552K), 0.0005793 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
11.208: [GC 11.208: [ParNew: 3500K->241K(3904K), 0.0004232 secs] 10108K->6849K(12552K), 0.0004583 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
11.212: [GC 11.212: [ParNew: 3559K->83K(3904K), 0.0005441 secs] 10167K->6692K(12552K), 0.0005943 secs] [Times: user=0.00 sys=0.01, real=0.00 secs] 
11.214: [GC 11.214: [ParNew: 3453K->166K(3904K), 0.0005576 secs] 10061K->6775K(12552K), 0.0006037 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
11.216: [GC 11.216: [ParNew: 3478K->168K(3904K), 0.0004838 secs] 10086K->6776K(12552K), 0.0005240 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
11.219: [GC 11.219: [ParNew: 3518K->170K(3904K), 0.0003966 secs] 10126K->6778K(12552K), 0.0004356 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
11.258: [GC 11.258: [ParNew: 3562K->8K(3904K), 0.0006643 secs] 10170K->6616K(12552K), 0.0007027 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
